timestamp,source_events,e_net,f_net,threshold,previous_target,target_position,reason
2026-08-25 16:34:34,啟動時重建,2,2,2,0,1,E淨部位2、F淨部位2，兩組皆達多方強共識門檻2
2026-08-25 17:33:20,啟動時重建,2,2,2,0,1,E淨部位2、F淨部位2，兩組皆達多方強共識門檻2
2026-08-25 18:52:34,CFCWIN01m 0→1,2,3,2,0,1,E淨部位2、F淨部位3，兩組皆達多方強共識門檻2
2026-08-25 19:00:10,啟動時重建,2,3,2,0,1,E淨部位2、F淨部位3，兩組皆達多方強共識門檻2
2026-08-25 21:27:49,CFCCPm 1→-1,2,1,2,0,0,E淨部位2、F淨部位1，未形成雙方至少2票的同向強共識
2026-08-25 21:35:55,CFCCPm -1→1,2,3,2,0,1,E淨部位2、F淨部位3，兩組皆達多方強共識門檻2
2026-08-25 21:45:59,CFCTX16m 0→1,2,4,2,0,1,E淨部位2、F淨部位4，兩組皆達多方強共識門檻2
2026-08-25 21:46:02,CFC07m 0→1,3,4,2,0,1,E淨部位3、F淨部位4，兩組皆達多方強共識門檻2
2026-08-25 22:23:45,CFCCPm 1→0,3,3,2,0,1,E淨部位3、F淨部位3，兩組皆達多方強共識門檻2
2026-08-26 00:07:37,CFCTX22m 0→1,3,4,2,0,1,E淨部位3、F淨部位4，兩組皆達多方強共識門檻2
2026-08-26 03:00:03,CFCTX20m 0→1,4,4,2,0,1,E淨部位4、F淨部位4，兩組皆達多方強共識門檻2
2026-08-26 03:00:30,CFCCPm 0→1,4,5,2,0,1,E淨部位4、F淨部位5，兩組皆達多方強共識門檻2
2026-08-26 08:45:04,CFCPW3m 1→0,4,4,2,0,1,E淨部位4、F淨部位4，兩組皆達多方強共識門檻2
2026-08-26 08:45:54,CFCTX16m 1→0,4,3,2,0,1,E淨部位4、F淨部位3，兩組皆達多方強共識門檻2
2026-08-26 08:46:09,CFCCPm 1→0,4,2,2,0,1,E淨部位4、F淨部位2，兩組皆達多方強共識門檻2
2026-08-26 08:46:13,CFC07m 1→0,3,2,2,0,1,E淨部位3、F淨部位2，兩組皆達多方強共識門檻2
2026-08-26 08:53:55,CFCTX17m 1→0,2,2,2,0,1,E淨部位2、F淨部位2，兩組皆達多方強共識門檻2
2026-08-26 08:54:00,CFCTX18m 1→0,1,2,2,0,0,E淨部位1、F淨部位2，未形成雙方至少2票的同向強共識
2026-08-26 09:00:05,CFCWIN01m 1→0,1,1,2,0,0,E淨部位1、F淨部位1，未形成雙方至少2票的同向強共識
2026-08-26 09:00:07,CFCTX22m 1→0,1,0,2,0,0,E淨部位1、F淨部位0，未形成雙方至少2票的同向強共識
